Email Address,Product Code,Date of Sale
james.brown@gmail.com,P-001,14/02/2024
james.brown@gmail.com,P-002,28/05/2024
james.brown@gmail.com,P-004,21/02/2024
james.brown@gmail.com,P-005,10/01/2024
james.brown@gmail.com,P-008,29/05/2024
james.brown@lycoos.com,P-002,09/04/2024
james.brown@lycoos.com,P-004,20/06/2024
james.davis@lycoos.com,P-0010,02/07/2024
james.doe@gmail.com,P-002,15/07/2024
james.doe@lycoos.com,P-002,19/06/2024
james.johnson@gmail.com,P-002,21/02/2024
james.johnson@gmail.com,P-006,11/06/2024
james.johnson@gmail.com,P-007,06/06/2024
james.johnson@lycoos.com,P-006,02/06/2024
james.johnson@lycoos.com,P-007,19/07/2024
james.jones@gmail.com,P-004,28/04/2024
james.jones@gmail.com,P-005,27/06/2024
james.jones@gmail.com,P-005,29/06/2024
james.jones@gmail.com,P-006,20/01/2024
james.jones@gmail.com,P-009,31/08/2024
james.jones@gmail.com,P-002,28/02/2024
james.jones@gmail.com,P-004,10/06/2024
james.jones@gmail.com,P-009,18/07/2024
james.jones@lycoos.com,P-006,02/02/2024
james.miller@gmail.com,P-001,06/07/2024
james.miller@gmail.com,P-009,10/02/2024
james.miller@lycoos.com,P-001,21/04/2024
james.miller@lycoos.com,P-008,05/08/2024
james.moore@gmail.com,P-003,03/05/2024
james.moore@gmail.com,P-004,10/06/2024
james.moore@gmail.com,P-008,25/03/2024
james.moore@gmail.com,P-001,15/05/2024
james.moore@gmail.com,P-004,10/03/2024
james.moore@gmail.com,P-009,03/03/2024
james.moore@gmail.com,P-009,06/01/2024
james.moore@lycoos.com,P-004,10/01/2024
james.smith@gmail.com,P-002,16/06/2024
james.smith@gmail.com,P-002,10/03/2024
james.smith@gmail.com,P-008,20/05/2024
james.smith@gmail.com,P-002,02/04/2024
james.smith@lycoos.com,P-005,09/04/2024
james.taylor@gmail.com,P-002,09/04/2024
james.wilson@gmail.com,P-003,17/06/2024
james.wilson@gmail.com,P-005,02/05/2024
james.wilson@gmail.com,P-007,06/03/2024
james.wilson@gmail.com,P-009,29/02/2024
james.wilson@gmail.com,P-002,01/02/2024
james.wilson@lycoos.com,P-004,11/05/2024
james.brown@gmail.com,P-001,31/05/2024
james.brown@gmail.com,P-003,25/08/2024
james.brown@gmail.com,P-001,19/08/2024
james.brown@gmail.com,P-0010,27/06/2024
james.brown@lycoos.com,P-006,28/07/2024
james.brown@lycoos.com,P-006,30/03/2024
james.davis@gmail.com,P-005,04/06/2024
james.davis@gmail.com,P-008,22/04/2024
james.davis@gmail.com,P-0010,28/02/2024
james.davis@lycoos.com,P-003,25/04/2024
james.davis@lycoos.com,P-004,11/05/2024
james.doe@gmail.com,P-002,13/08/2024
james.doe@gmail.com,P-007,23/04/2024
james.doe@lycoos.com,P-003,14/08/2024
james.johnson@gmail.com,P-002,11/01/2024
james.johnson@gmail.com,P-005,10/08/2024
james.johnson@lycoos.com,P-003,29/06/2024
james.johnson@lycoos.com,P-007,28/03/2024
james.jones@gmail.com,P-002,03/02/2024
james.jones@lycoos.com,P-002,06/08/2024
james.miller@lycoos.com,P-007,31/05/2024
james.moore@gmail.com,P-005,28/06/2024
james.moore@gmail.com,P-006,26/05/2024
james.moore@gmail.com,P-0010,01/02/2024
james.moore@lycoos.com,P-006,02/02/2024
james.smith@gmail.com,P-002,31/08/2024
james.smith@gmail.com,P-007,28/08/2024
james.taylor@gmail.com,P-002,21/03/2024
james.taylor@lycoos.com,P-003,03/04/2024
james.taylor@lycoos.com,P-004,25/05/2024
james.wilson@gmail.com,P-008,09/04/2024
james.wilson@gmail.com,P-001,27/06/2024
james.wilson@gmail.com,P-008,12/07/2024
james.wilson@lycoos.com,P-007,22/01/2024
james.wilson@lycoos.com,P-007,11/07/2024
james.wilson@lycoos.com,P-009,14/01/2024
david.brown@gmail.com,P-001,31/08/2024
